FV1,FV2,FV3,FV4,FV5,FV6,FV7,FV8,FV9,FV10,CLASS_MIX
1234,1234,1234,1234,,1234,asdadfs,,1234,1234,1
1234,,1234,,1234,,asdadfs,1234,1234,1234,1
1234,1234,yes,1234,,,1234,,,1234,1
1234,,1234,1234,,asdadfs,asdadfs,,1234,,0
,1234,1234,,1234,,1234,1234,,1234,1
1234,,1234,1.234,,1234,asdadfs,,1234,,0
1234,,1234,,1234,,1234,1234,1234,,1
,1234,1234,1234,,,asdadfs,1234,1234,1234,0
1234,,1234,1234,,1234,1234,,1234,,1
,1234,1234,,1234,,asdadfs,,,1234,0
1234,,1234,1234,,1234,1234,1234,,1234,1
,1234,1234,,1234,,asdadfs,,1234,,0
1234,,1234,1234,,1234,asdadfs,1234,,1234,1
